league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2324,Luton Town,Cauley Woodrow,ENG,FW,28,1994,24,2,427,4.7,1,1,2,1,0,0,2,0,0.21,0.21,0.42,0.21,0.42
ENG-Premier League,2324,Luton Town,Chiedozie Ogbene,IRL,MF,26,1997,30,20,1995,22.2,4,1,5,4,0,0,1,0,0.18,0.05,0.23,0.18,0.23
ENG-Premier League,2324,Luton Town,Daiki Hashioka,JPN,"DF,MF",24,1999,10,6,595,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Elijah Adebayo,ENG,FW,25,1998,27,16,1419,15.8,10,0,10,10,0,0,1,0,0.63,0.0,0.63,0.63,0.63
ENG-Premier League,2324,Luton Town,Fred Onyedinma,ENG,MF,26,1996,8,4,407,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Gabriel Osho,NGA,DF,24,1998,21,21,1846,20.5,2,0,2,2,0,0,3,0,0.1,0.0,0.1,0.1,0.1
ENG-Premier League,2324,Luton Town,Issa Kaboré,BFA,"MF,DF",22,2001,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.0,0.1,0.1,0.0,0.1
ENG-Premier League,2324,Luton Town,Jacob Brown,SCO,"MF,FW",25,1998,19,12,1019,11.3,2,0,2,2,0,0,4,0,0.18,0.0,0.18,0.18,0.18
ENG-Premier League,2324,Luton Town,James Shea,ENG,GK,32,1991,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Jordan Clark,ENG,MF,29,1993,23,14,1304,14.5,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14
ENG-Premier League,2324,Luton Town,Joseph Johnson,ENG,DF,17,2006,2,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Luke Berry,ENG,MF,31,1992,17,2,323,3.6,2,1,3,2,0,0,1,0,0.56,0.28,0.84,0.56,0.84
ENG-Premier League,2324,Luton Town,Mads Juel Andersen,DEN,DF,25,1997,8,4,400,4.4,1,0,1,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23
ENG-Premier League,2324,Luton Town,Marvelous Nakamba,ZIM,MF,29,1994,13,13,1130,12.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Pelly Ruddock Mpanzu,COD,MF,30,1993,27,11,1101,12.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Reece Burke,ENG,DF,26,1996,22,20,1660,18.4,0,4,4,0,0,0,5,0,0.0,0.22,0.22,0.0,0.22
ENG-Premier League,2324,Luton Town,Ross Barkley,ENG,MF,29,1993,32,30,2618,29.1,5,4,9,5,0,0,6,0,0.17,0.14,0.31,0.17,0.31
ENG-Premier League,2324,Luton Town,Ryan Giles,ENG,"MF,DF",23,2000,11,5,503,5.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Tahith Chong,CUW,"MF,FW",23,1999,33,20,1982,22.0,4,0,4,4,0,0,4,0,0.18,0.0,0.18,0.18,0.18
ENG-Premier League,2324,Luton Town,Teden Mengi,ENG,DF,21,2002,30,28,2469,27.4,1,0,1,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,30,1992,38,38,3405,37.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Tom Lockyer,WAL,DF,28,1994,14,14,1169,13.0,1,1,2,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15
ENG-Premier League,2324,Luton Town,Zack Nelson,ENG,MF,18,2005,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester City,Aymeric Laporte,ESP,DF,29,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester City,Bernardo Silva,POR,MF,28,1994,33,29,2578,28.6,6,9,15,6,0,0,8,0,0.21,0.31,0.52,0.21,0.52
ENG-Premier League,2324,Manchester City,Cole Palmer,ENG,"FW,MF",21,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester City,Ederson Moraes,BRA,GK,29,1993,33,33,2785,30.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester City,Erling Haaland,NOR,"FW,MF",23,2000,31,29,2552,28.4,27,5,32,20,7,8,1,0,0.95,0.18,1.13,0.71,0.88
ENG-Premier League,2324,Manchester City,Jack Grealish,ENG,"MF,FW",27,1995,20,10,1009,11.2,3,1,4,3,0,0,6,0,0.27,0.09,0.36,0.27,0.36
ENG-Premier League,2324,Manchester City,James Mcatee,ENG,MF,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester City,Jeremy Doku,BEL,"MF,FW",21,2002,29,18,1595,17.7,3,8,11,3,0,0,3,0,0.17,0.45,0.62,0.17,0.62
ENG-Premier League,2324,Manchester City,John Stones,ENG,DF,29,1994,16,12,1064,11.8,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2324,Manchester City,Joško Gvardiol,CRO,DF,21,2002,28,26,2328,25.9,4,1,5,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19
ENG-Premier League,2324,Manchester City,Julián Álvarez,ARG,"MF,FW",23,2000,36,31,2647,29.4,11,8,19,9,2,2,2,0,0.37,0.27,0.65,0.31,0.58
ENG-Premier League,2324,Manchester City,Kalvin Phillips,ENG,"DF,MF",27,1995,4,0,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester City,Kevin De Bruyne,BEL,MF,32,1991,18,15,1221,13.6,4,10,14,4,0,0,2,0,0.29,0.74,1.03,0.29,1.03
ENG-Premier League,2324,Manchester City,Kyle Walker,ENG,"DF,MF",33,1990,32,30,2767,30.7,0,4,4,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13
ENG-Premier League,2324,Manchester City,Manuel Akanji,SUI,"DF,MF",28,1995,30,28,2511,27.9,2,0,2,2,0,0,4,1,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2324,Manchester City,Mateo Kovačić,CRO,MF,29,1994,30,16,1551,17.2,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2324,Manchester City,Matheus Nunes,POR,"MF,FW",24,1998,17,7,661,7.3,0,2,2,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27
ENG-Premier League,2324,Manchester City,Nathan Aké,NED,DF,28,1995,29,24,2042,22.7,2,2,4,2,0,0,0,0,0.09,0.09,0.18,0.09,0.18
ENG-Premier League,2324,Manchester City,Oscar Bobb,NOR,MF,20,2003,14,2,302,3.4,1,1,2,1,0,0,0,0,0.3,0.3,0.6,0.3,0.6
ENG-Premier League,2324,Manchester City,Phil Foden,ENG,MF,23,2000,35,33,2857,31.7,19,8,27,19,0,0,2,0,0.6,0.25,0.85,0.6,0.85
ENG-Premier League,2324,Manchester City,Rico Lewis,ENG,"DF,MF",18,2004,16,8,809,9.0,2,0,2,2,0,0,1,0,0.22,0.0,0.22,0.22,0.22
ENG-Premier League,2324,Manchester City,Rodri,ESP,"MF,DF",27,1996,34,34,2931,32.6,8,9,17,8,0,0,8,1,0.25,0.28,0.52,0.25,0.52
ENG-Premier League,2324,Manchester City,Rúben Dias,POR,"DF,MF",26,1997,30,28,2559,28.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester City,Sergio Gómez,ESP,"DF,MF",22,2000,6,0,53,0.6,0,1,1,0,0,0,0,0,0.0,1.7,1.7,0.0,1.7
ENG-Premier League,2324,Manchester City,Stefan Ortega,GER,GK,30,1992,9,5,635,7.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Aaron Wan-Bissaka,COD,DF,25,1997,22,20,1780,19.8,0,2,2,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1
ENG-Premier League,2324,Manchester Utd,Alejandro Garnacho,ARG,MF,19,2004,36,30,2565,28.5,7,4,11,7,0,0,4,0,0.25,0.14,0.39,0.25,0.39
ENG-Premier League,2324,Manchester Utd,Amad Diallo,CIV,MF,21,2002,9,3,390,4.3,1,1,2,1,0,0,1,0,0.23,0.23,0.46,0.23,0.46
ENG-Premier League,2324,Manchester Utd,André Onana,CMR,GK,27,1996,38,38,3420,38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Anthony Martial,FRA,FW,27,1995,13,5,448,5.0,1,0,1,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2
ENG-Premier League,2324,Manchester Utd,Antony,BRA,MF,23,2000,29,15,1324,14.7,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14
ENG-Premier League,2324,Manchester Utd,Bruno Fernandes,POR,MF,28,1994,35,35,3118,34.6,10,8,18,6,4,5,9,0,0.29,0.23,0.52,0.17,0.4
ENG-Premier League,2324,Manchester Utd,Casemiro,BRA,"MF,DF",31,1992,25,24,1982,22.0,1,2,3,1,0,0,7,0,0.05,0.09,0.14,0.05,0.14
ENG-Premier League,2324,Manchester Utd,Christian Eriksen,DEN,MF,31,1992,22,12,1141,12.7,1,2,3,1,0,0,1,0,0.08,0.16,0.24,0.08,0.24
ENG-Premier League,2324,Manchester Utd,Daniel Gore,ENG,MF,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Diogo Dalot,POR,DF,24,1999,36,35,3174,35.3,2,3,5,2,0,0,6,1,0.06,0.09,0.14,0.06,0.14
